Polymer Category,Industry Name,Grade,Polymer/Blend/Benchmark,Supplier,TDS link,TUV Home,Thickness 1,TUV Home_Link,TUV Industrial,Thickness,TUV Industrial_Link,BPI,Thickness,Certifications,BPI_Link,BBC (%),BBC_Link,LCA (kg CO₂-eq),LCA_Link,FDA or equivalent,FDA or equivalent_Link,RoHS & REACH,RoHS & REACH_Link,Europe Policy Considerations,Europe Policy Considerations_Link,Asia Policy Considerations,Asia Policy Considerations_Link
PLA,Ingeo,4032D ,Polymer,Natureworks,https://www.natureworksllc.com/~/media/Technical_Resources/Technical_Data_Sheets/TechnicalDataSheet_4032D_films_pdf.pdf,Not certified,N/A,N/A,Not certified,N/A,N/A,Certified,2mm,#N/A,https://products.bpiworld.org/?type=product&keyword=Natureworks,100%,https://www.biopreferred.gov/BioPreferred/faces/catalog/Catalog.xhtml,0.61,3rd Party LCA,Approved,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=FCN,Compliant/listed,https://www.natureworksllc.com/~/media/Files/NatureWorks/Technical-Documents/Safety-Data-Sheets/SDS-Polymers-NA-ENG/4032D%20US%20SDS_pdf.pdf,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PLA,Ingeo,4043D ,Polymer,Natureworks,https://www.natureworksllc.com/~/media/Files/NatureWorks/Technical-Documents/Technical-Data-Sheets/TechnicalDataSheet_4043D_3D-monofilament_pdf.pdf,Not certified,N/A,N/A,Not certified,N/A,N/A,Certified,3.2mm,,https://products.bpiworld.org/?type=product&keyword=Natureworks,100%,https://www.biopreferred.gov/BioPreferred/faces/catalog/Catalog.xhtml,0.61,3rd Party LCA,Approved,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=FCN,Compliant/listed,https://www.natureworksllc.com/~/media/Files/NatureWorks/Technical-Documents/Safety-Data-Sheets/SDS-Polymers-NA-ENG/4043D%20US%20SDS_pdf.pdf,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PLA,Luminy,Luminy® L175,Polymer,Total,https://www.totalenergies-corbion.com/media/eushodia/pds-luminy-l175-190507.pdf,Not certified,N/A,N/A,Certified,3.5mm,20250403_OKCompost_Export.pdf,Certified,2.3mm,,https://products.bpiworld.org/companies/totalenergies-corbion-bv,100%,https://www.biopreferred.gov/BioPreferred/faces/catalog/Catalog.xhtml,0.56,ZYA Database,Approved,https://www.totalenergies-corbion.com/media/eushodia/pds-luminy-l175-190507.pdf,Not Tested,,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com
https://mio-ecsde.org/wp-content/uploads/2016/07/Agenda-item-5_Galgani_Banning-plastic-bags.pdf?","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PHB,Biocycle,BIOCYCLE® 1000,Polymer,PHB Industrial,https://omnexus.specialchem.com/product/t-phb-industrial-biocycle-1000,Not certified,N/A,N/A,Not certified,N/A,N/A,Not certified,N/A,,N/A,,,0.36,ZYA Database,PHB/PHBV approved material under FDA,,Not Tested,,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com
https://mio-ecsde.org/wp-content/uploads/2016/07/Agenda-item-5_Galgani_Banning-plastic-bags.pdf?","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PHB,Enmat,ENMAT Y3000,Polymer,PHB Industrial,https://omnexus.specialchem.com/product/t-phb-industrial-biocycle-1000,Not certified,N/A,N/A,Not certified,N/A,N/A,Certified,1.21mm,,https://products.bpiworld.org/companies/ningbo-tianan-biologic-material-co-ltd,100%,https://pmc.ncbi.nlm.nih.gov/articles/PMC10890324/,4.08,,PHBV is approved by the FDA,http://en.tianan-enmat.com/index.html#,Not Tested,,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com
https://mio-ecsde.org/wp-content/uploads/2016/07/Agenda-item-5_Galgani_Banning-plastic-bags.pdf?","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PHB,Enmat,ENMAT™ Y1000P,Polymer,PHB Industrial,http://en.tianan-enmat.com/pdf/TDS_Y3000P.pdf,Certified,600um,20250403_OKCompost_Export HOME.pdf,Not certified,N/A,N/A,Certified,1.21mm,,https://products.bpiworld.org/companies/ningbo-tianan-biologic-material-co-ltd,100%,https://renewable-carbon.eu/news/enmat-y1000p-phbv-certified-ok-biodegradable-marine/,4.08,ZYA Database,PHBV is approved by the FDA,,Not Tested,,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com
https://mio-ecsde.org/wp-content/uploads/2016/07/Agenda-item-5_Galgani_Banning-plastic-bags.pdf?","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PHB,Green Plant,Green Planet™ PHBH M704,Polymer,Kaneka,https://www.matweb.com/search/datasheet.aspx?matguid=2348323f27bc4eb4a4b1d1f3cd22fcff&ckck=1,Certified,320um,20250403_OKCompost_Export HOME.pdf,Certified,320um,20250403_OKCompost_Export.pdf,Certified,320um,,https://products.bpiworld.org/companies/kaneka-corporation,95%,https://www.biopreferred.gov/BioPreferred/faces/catalog/Catalog.xhtml,1.66,https://www.mdpi.com/2073-4360/14/22/5033,Approved,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=FCN&id=2243,Not Tested,,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com
https://mio-ecsde.org/wp-content/uploads/2016/07/Agenda-item-5_Galgani_Banning-plastic-bags.pdf?","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PHA,PHACT,PHACT A1000P,Polymer,CJ Biomaterials,https://cjbiomaterials.com/wp-content/uploads/2024/03/CJBMS-TDS-A1000P.pdf,Certified,2.48mm,20250403_OKCompost_Export HOME.pdf,Certified,2.86mm,20250403_OKCompost_Export.pdf,Certified,2.86mm,,https://products.bpiworld.org/companies/cj-biomaterials-inc,99%,https://www.biopreferred.gov/BioPreferred/faces/catalog/Catalog.xhtml,1.88,https://www.sciencedirect.com/science/article/pii/S0959652623035795,IPR for EUU/US. Approved in SKR,https://cjbio.net/zh/products/cjpha,Not Tested,,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com
https://mio-ecsde.org/wp-content/uploads/2016/07/Agenda-item-5_Galgani_Banning-plastic-bags.pdf?","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PHA,PHACT,PHACT S1000P,Polymer,CJ Biomaterials,https://drive.google.com/file/d/1a7i9CVzWrArSCCckRch7aZhknTtjZhG_/view?usp=sharing,Certified,330um,20250403_OKCompost_Export HOME.pdf,Certified,330um,20250403_OKCompost_Export.pdf,Certified,330um,,https://products.bpiworld.org/companies/cj-biomaterials-inc,99%,https://www.biopreferred.gov/BioPreferred/faces/catalog/Catalog.xhtml,1.88,https://www.sciencedirect.com/science/article/pii/S0959652623035795,IPR for EUU/US. Approved in SKR,https://cjbio.net/zh/products/cjpha,Not Tested,,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com
https://mio-ecsde.org/wp-content/uploads/2016/07/Agenda-item-5_Galgani_Banning-plastic-bags.pdf?","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PGA,Kuredux,Kuredux® PGA,Polymer,Kureha,https://www.kureha.com/pdfs/Kuredux_brochure.pdf,Not certified,N/A,N/A,Certified,137um,20250403_OKCompost_Export.pdf,Not certified,N/A,,N/A,0%,N/A,,,Approved,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=FCN&id=958,Compliant/listed,https://www.kuredux.com/pdf/Kuredux_technical_EN.pdf,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PBAT,EcoFlex,ecoflex® F Blend C1200,Polymer,BASF,https://download.basf.com/p1/8a8082587fd4b608017fd63230bf39c4/en/ecoflex%3Csup%3E%C2%AE%3Csup%3E_F_Blend_C1200_Product_Data_Sheet_English.pdf?view,Not certified,N/A,N/A,Certified,213um,20250403_OKCompost_Export.pdf,Certified,213um,,https://products.bpiworld.org/companies/basf-corporation,0%,N/A,3.5,ZYA Database,Grade dependant - contact BASF,https://download.basf.com/p1/8a8082587fd4b608017fd63230bf39c4/en/ecoflex%3Csup%3E%C2%AE%3Csup%3E_F_Blend_C1200_Product_Data_Sheet_English.pdf?view,Compliant/listed,file:///Users/kritikatyagi/Desktop/ecoflex+F+Blend+C1200_30516354_SDS_GEN_00_en_4-0.pdf,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com
https://mio-ecsde.org/wp-content/uploads/2016/07/Agenda-item-5_Galgani_Banning-plastic-bags.pdf?","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PBAT,,Ecoworld,Polymer,Jinhui,http://www.jinhuizhaolong.com/en/jingcai/3.html,Certified,33um,20250403_OKCompost_Export HOME.pdf,Certified,33um,20250403_OKCompost_Export.pdf,Certified,33um,,https://products.bpiworld.org/companies/jinhui-zhaolong-high-technology-co-ltd,0%,N/A,6.71,ZYA Database,Approved,https://www.materialdatacenter.com/ms/en/tradenames/Ecoworld/Jinhui+Zhaolong+High+Technology+Co%252E%2C+Ltd/Ecoworld%C2%AE+003/f98ab695/7263,Not Tested,,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com
https://mio-ecsde.org/wp-content/uploads/2016/07/Agenda-item-5_Galgani_Banning-plastic-bags.pdf?","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PBAT,Ecovance,Ecovance rf-PBAT,Polymer,Stavian,https://stavianchem.com/sites/default/files/2023-09/Biodegradable Ecovance rf-PBAT SK Chemicals.pdf,Not certified,N/A,N/A,Certified in blend with other materials not by Stavian,,Link,Not certified,N/A,,N/A,0%,N/A,5.89,https://www.sciencedirect.com/science/article/abs/pii/S004896972406577X,N/A - not on FDA database,,Not Tested,,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com
https://mio-ecsde.org/wp-content/uploads/2016/07/Agenda-item-5_Galgani_Banning-plastic-bags.pdf?","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PBS,BioPBS,BioPBS™ FZ91,Polymer,MCPP,https://www.m-chemical.co.jp/en/products/departments/mcc/sustainable/product/1201025_7964.html,Not certified,N/A,N/A,Certified,270um,20250403_OKCompost_Export.pdf,Certified,270um,,https://products.bpiworld.org/companies/ptt-mcc-biochem-company-limited,49%,https://www.biopreferred.gov/BioPreferred/faces/catalog/Catalog.xhtml,3.97,ZYA Database,Approved,https://www.m-chemical.co.jp/en/products/departments/mcc/sustainable/product/1201025_7964.html,Compliant/listed,https://pttmcc.com/file_upload/sds/SDS-FZ91PM_PB.pdf,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
