Polymer Category,Industry Name,Grade,Polymer/Blend/Benchmark,Supplier,TDS link,TUV Home,Thickness 1,TUV Home_Link,TUV Industrial,Thickness,TUV Industrial_Link,BPI,Thickness,Certifications,BPI_Link,BBC (%),BBC_Link,LCA (kg CO₂-eq),LCA_Link,FDA or equivalent,FDA or equivalent_Link,RoHS & REACH,RoHS & REACH_Link,Europe Policy Considerations,Europe Policy Considerations_Link,Asia Policy Considerations,Asia Policy Considerations_Link
PBS,,PBS TH803S,Polymer,Tunhe,https://pycnoplast.com/wp-content/uploads/2023/05/PBS-TH803S-TDS.pdf,Certified,45um,link,Certified,80um,"link

20250403_OKCompost_Export.pdf",Certified,65um,,https://products.bpiworld.org/?type=product&keyword=TH803,40%,https://pycnoplast.com/wp-content/uploads/2023/05/PBS-TH803S-TDS.pdf,6.71,ZYA Database,EU approved,https://pycnoplast.com/wp-content/uploads/2023/05/PBS-TH803S-TDS.pdf,Not Tested,,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PBS,BioPBS,BioPBS™ FD92,Polymer,MCPP,https://www.m-chemical.co.jp/en/products/departments/mcc/sustainable/product/1201025_7964.html,Certified,502um,20250403_OKCompost_Export HOME.pdf,Certified,87um,20250403_OKCompost_Export.pdf,Certified,87um,,https://products.bpiworld.org/companies/ptt-mcc-biochem-company-limited,36%,https://www.biopreferred.gov/BioPreferred/faces/catalog/Catalog.xhtml,8.03,ZYA Database,Approved,https://www.m-chemical.co.jp/en/products/departments/mcc/sustainable/product/1201025_7964.html,Compliant/listed,https://www.pttmcc.com/product-grade,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
Bio-PE,I'm Green,I'm green™ STN7006,Polymer,Braskem,https://www.braskem.store/documents/516372,Not certified,N/A,N/A,NA,N/A,N/A,Not certified,N/A,,N/A,100%,https://www.biopreferred.gov/BioPreferred/faces/catalog/Catalog.xhtml,-3.09,https://biobasedinkopen.nl/app/uploads/gravity_forms/7-30251b6dc22b02c75edd627c811d67bd/2022/05/LCA-PE-Im-green-bio-based_FINAL-EN.pdf?utm_source=chatgpt.com,LDPE is approved by the FDA,,Not Tested,https://media.knowde.com/image/upload/v1695748274/production/Collateral/514708/SDS_ImgreenTMLDPE_US_EN_1.pdf,Plastic bag applications banned. Restricted in France - nees to be 60% biobased to be approved. Approved if proven recyclable (currently not accepted in recycling facilities and therefore does not meet standards).,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PCL,Capa,Capa™ 6500,Polymer,Ingevity,https://www.kosine.com/rapstrap/TDS-CAPA6500.pdf,Certified,490um,20250403_OKCompost_Export HOME.pdf,Certified,1mm,20250403_OKCompost_Export.pdf,Certified,N/A,,https://products.bpiworld.org/companies/ingevity-corporation,0%,N/A,3.1,ZYA Database,Approved,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=FCN&id=1761,Not Tested,https://www.tri-iso.com/documents/Ingevity_CAPA_6500_SDS.pdf,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PCL,Capa,Capa™ 6800,Polymer,Ingevity,https://www.prochema.com/prochema-products/polycaprolactone-pcl-polymer/,Certified,490um,20250403_OKCompost_Export HOME.pdf,Certified,1mm,20250403_OKCompost_Export.pdf,Certified,N/A,,https://products.bpiworld.org/companies/ingevity-corporation,0%,N/A,3.1,ZYA Database,Approved,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=FCN&id=1761,Not Tested,,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PBAT/PLA,EcoVio,Ecovio 40 FG2331,Industry Blend,BASF,LINK,Certified,30um,20250403_OKCompost_Export HOME.pdf,Not certified,,,Not Certified,N/A,,N/A,40%,"https://plastics-rubber.basf.com/global/en/performance_polymers/downloads#%7B%220%22:%5B%5B%22productId%22,%5B%228a8082c97eaf959c017ec37a01dd3969%22%5D%5D,%5B%22facet:contentLanguage%22,%5B%22en%22%5D%5D,%5B%22facet:documentType%22,%5B%22/8a80814b7dbd2df2017de608032e3707%22%5D%5D%5D%7D",,,,,,,,,,
PBAT/PLA,EcoVio,F2223,Industry Blend,BASF,LINK,Not certified,N/A,N/A,Certified,120um,20250403_OKCompost_Export.pdf,Certified,120um,,https://products.bpiworld.org/companies/basf-corporation,Not Available,N/A,,,,,,,,,,
PBAT/PLA,EcoVio,F2224,Industry Blend,BASF,LINK,Not certified,N/A,N/A,Certified,120um,20250403_OKCompost_Export.pdf,Certified,120um,,https://products.bpiworld.org/companies/basf-corporation,Not Available,N/A,,,,,,,,,,
PBAT/PLA,EcoVio,F2330,Industry Blend,BASF,LINK,Certified,30um,20250403_OKCompost_Export HOME.pdf,Certified,120um,20250403_OKCompost_Export.pdf,Certified,120um,,https://products.bpiworld.org/companies/basf-corporation,Not Available,N/A,,,,,,,,,,
PBAT/PLA,EcoVio,F2331,Industry Blend,BASF,LINK,Certified,30um,20250403_OKCompost_Export HOME.pdf,Certified,120um,20250403_OKCompost_Export.pdf,Certified,120um,,https://products.bpiworld.org/companies/basf-corporation,Not Available,N/A,,,,,,,,,,
PBAT/PLA,EcoVio,F2332,Industry Blend,BASF,LINK,Not certified,N/A,N/A,Certified,120um,20250403_OKCompost_Export.pdf,Certified,120um,,https://products.bpiworld.org/companies/basf-corporation,Not Available,N/A,,,,,,,,,,
PBAT/PLA,EcoVio,F2341,Industry Blend,BASF,LINK,Certified,24um,20250403_OKCompost_Export HOME.pdf,Certified,312um,20250403_OKCompost_Export.pdf,Certified,312um,,https://products.bpiworld.org/companies/basf-corporation,34%,https://omnexus.specialchem.com/product/t-basf-ecovio-ft2341,,,,,,,,,,
PBAT/PLA,EcoVio,F23B1,Industry Blend,BASF,LINK,Certified,24um,20250403_OKCompost_Export HOME.pdf,Certified,312um,20250403_OKCompost_Export.pdf,Certified,312um,,https://products.bpiworld.org/companies/basf-corporation,Not Available,N/A,,,,,,,,,,
Starch/PBAT,Mater-Bi,CF03W,Industry Blend,Novamont,"https://www.novamont.com/eng/read-press-release/novamonts-new-mater-bi-cling-film-is-now-available/?utm_source=chatgpt.com

https://www.novamont.com/eng/read-press-release/bio-based-and-low-environmental-footprint-applications-in-novamonts-mater-bi-bioplastic-for-the-food-packaging-catering-retail-and-agricultural-sectors-on-display-at-k/?utm_source=chatgpt.com",Certified,60um,20250403_OKCompost_Export HOME.pdf,Certified,220um,20250403_OKCompost_Export.pdf,Not Certified,N/A,,N/A,"Not Available

40 - 100","https://www.novamont.com/eng/mater-bi

https://www.novamont.com/eng/read-press-release/g7-environment-all-grades-of-novamont-mater-bi-bioplastic-will-be-40-to-100-bio-based-by-end-of-2017/",,,,,,,,,,
Starch/PBAT,Terratek,FX1515 ,Industry Blend,Greendot Bioplastics,https://www.greendotbioplastics.com/wp-content/uploads/2022/12/FX1515-Datasheet-11-7-22.pdf,Not Certified,N/A,N/A,Not Certified,N/A,N/A,Not Certified,N/A,,N/A,Not Available,N/A,,,,,,,,,,
Starch/PBAT,Terratek,FX1515 - Blown Film,Industry Blend,Greendot Bioplastics,https://www.greendotbioplastics.com/wp-content/uploads/2022/12/FX1515-Blown-Film-Datasheet-11-7-22.pdf,Not Certified,N/A,N/A,Not Certified,N/A,N/A,Not Certified,N/A,,N/A,Not Available,N/A,,,,,,,,,,
Starch/PBAT,Terratek,FX2217,Industry Blend,Greendot Bioplastics,https://www.greendotbioplastics.com/wp-content/uploads/2022/12/FX2217-Datasheet-11-7-22.pdf,Not Certified,N/A,N/A,Not Certified,N/A,N/A,Not Certified,N/A,,N/A,Not Available,N/A,,,,,,,,,,
PLA Blend,Bio-Flex,F1804,Industry Blend,FKuR Kunststoff,https://fkur.com/en/bioplastics/bio-flex/bio-flex-f-1804/,Certified,24um,20250403_OKCompost_Export HOME.pdf,Not Certified,N/A,N/A,Not Certified,N/A,,N/A,43%,https://fkur.com/en/bioplastics/bio-flex/bio-flex-f-1804/,,,,,,,,,,
PLA Blend,Bio-Flex,FX1137,Industry Blend,FKuR Kunststoff,https://fkur.com/en/bioplastics/bio-flex/bio-flex-fx-1137/,Not Certified,N/A,N/A,Certified,60um,20250403_OKCompost_Export.pdf,Not Certified,N/A,,N/A,10%,https://fkur.com/en/bioplastics/bio-flex/bio-flex-fx-1137/,,,,,,,,,,
PLA Blend,Bio-Flex,F1140,Industry Blend,FKuR Kunststoff,https://fkur.com/en/bioplastics/bio-flex/bio-flex-f-1140/,Not Certified,N/A,N/A,Certified,97um,20250403_OKCompost_Export.pdf,Not Certified,N/A,,N/A,Not Available,N/A,,,,,,,,,,
PLA Blend,Bio-Flex,FX1130,Industry Blend,FKuR Kunststoff,https://fkur.com/en/bioplastics/bio-flex/bio-flex-fx-1130/,Not Certified,N/A,N/A,Certified,112um,20250403_OKCompost_Export.pdf,Not Certified,N/A,,N/A,10%,https://fkur.com/en/bioplastics/bio-flex/bio-flex-fx-1130/,,,,,,,,,,
PLA Blend,Bio-Flex,FX1135,Industry Blend,FKuR Kunststoff,https://fkur.com/en/bioplastics/bio-flex/bio-flex-fx-1135/,Not Certified,N/A,N/A,Not certified,N/A,N/A,Not Certified,N/A,,N/A,10%,https://fkur.com/en/bioplastics/bio-flex/bio-flex-fx-1135/,,,,,,,,,,
PLA Blend,Bio-Flex,F1801,Industry Blend,FKuR Kunststoff,https://fkur.com/en/bioplastics/bio-flex/bio-flex-f-1801/,Not Certified,N/A,N/A,Not certified,N/A,N/A,Not Certified,N/A,,N/A,10%,https://fkur.com/en/bioplastics/bio-flex/bio-flex-f-1801/,,,,,,,,,,
PLA Blend,Bio-Flex,F2110,Industry Blend,FKuR Kunststoff,https://fkur.com/en/bioplastics/bio-flex/bio-flex-f-2110/,Not Certified,N/A,N/A,Certified,154um,20250403_OKCompost_Export.pdf,Not Certified,N/A,,N/A,28%,https://www.biopreferred.gov/BioPreferred/faces/catalog/Catalog.xhtml,,,,,,,,,,
PLA Blend,Bio-Flex,F2100,Industry Blend,FKuR Kunststoff,https://fkur.com/en/bioplastics/bio-flex/bio-flex-f-2100/,Not Certified,N/A,N/A,Certified,60um,20250403_OKCompost_Export.pdf,Not Certified,N/A,,N/A,14%,https://fkur.com/en/bioplastics/bio-flex/bio-flex-f-2100/,,,,,,,,,,
PLA Blend,Bio-Flex,FX1821,Industry Blend,FKuR Kunststoff,https://fkur.com/en/bioplastics/bio-flex/bio-flex-fx-1821/,Certified,32um,20250403_OKCompost_Export HOME.pdf,Not certified,N/A,N/A,Not Certified,N/A,,N/A,10%,https://fkur.com/en/bioplastics/bio-flex/bio-flex-fx-1821/,,,,,,,,,,
Likely PLA,2000s Series,BF2001,Industry Blend,Natur-Tec,"https://www.naturtec.com/wp-content/uploads/2023/08/Natur-Tec-TDS_BF2001_REVB.pdf

https://www.naturtec.com/2000-series-resin/#datasheets",Not Certified,N/A,N/A,,,,Certified,25um,,https://products.bpiworld.org/companies/northern-technologies-international-corporation-ntic,83%,https://www.naturtec.com/wp-content/uploads/2023/08/Natur-Tec-TDS_BF2001_REVB.pdf,,,,,,,,,,
Likely PBAT,7000 Series,BF700Z-X,Industry Blend,Natur-Tec,https://www.naturtec.com/7000-series-resin/#datasheets,Not Certified,N/A,N/A,Certified,70um,20250403_OKCompost_Export.pdf,Certified,20um,,https://products.bpiworld.org/companies/northern-technologies-international-corporation-ntic,32%,https://www.naturtec.com/wp-content/uploads/2023/08/Natur-Tec-TDS_BF700Z-X_RevA.pdf,,,,,,,,,,
Likely PBAT,7001 Series,BF7002,Industry Blend,Natur-Tec,https://www.naturtec.com/7000-series-resin/#datasheets,Not Certified,N/A,N/A,Not Certified,N/A,N/A,Certified,120um,,https://products.bpiworld.org/companies/northern-technologies-international-corporation-ntic,20%,https://www.naturtec.com/7000-series-resin/,,,,,,,,,,
Starch Based,Bioplast,GF 106,Industry Blend,BioTec,https://www.biotec.de/products/bioplast-gf-106-02/,Certified,20um,20250403_OKCompost_Export HOME.pdf,Certified,185um,20250403_OKCompost_Export.pdf,Certified,185um,,https://products.bpiworld.org/companies/biotec-gmbh-co-kg,24%,"https://www.biotec.de/products/bioplast-gf-106-02/#:~:text=Bioplast%20GF%20106%20has%20a,13432%20in%20industrial%20composting%20facilities.",,,,,,,,,,
Starch Based,Bioplast,500 A,Industry Blend,BioTec,https://www.biotec.de/products/bioplast-500-a/,Certified,37um,20250403_OKCompost_Export HOME.pdf,Certified,250um,20250403_OKCompost_Export.pdf,Not Certified,N/A,,N/A,57%,"https://www.biotec.de/products/bioplast-500-a/#:~:text=Bioplast%20500%20A%20has%20a,500%20A%20is%20completely%20biodegradable.",,,,,,,,,,
starch/pla,M Vera,B5019 ,Industry Blend,Bio-Fed,https://a.storyblok.com/f/170886/x/27a44c84db/bio-fed_tdpg_mvera_b5019_b0041_2024-09-23-fin.pdf,Not Certified,N/A,N/A,Certified,50um,20250403_OKCompost_Export.pdf,Not Certified,N/A,,N/A,28%,https://bio-fed.com/en/bioplastics/mvera/b5019,,,,,,,,,,
starch/pla,M Vera,B5033,Industry Blend,Bio-Fed,https://a.storyblok.com/f/170886/x/b76b5db06e/bio-fed_tdpg_mvera_b5033_b0282_2025-02-05-fin.pdf,Certified,31um,20250403_OKCompost_Export HOME.pdf,Not Certified,N/A,N/A,Not Certified,N/A,,N/A,50%,https://bio-fed.com/en/bioplastics/mvera/b5033,,,,,,,,,,
PLA blend,Series 40,FC 45142,Industry Blend,ERT Bioplastics,https://ertbio.com/en/serie/series-40/,Not Certified,N/A,N/A,Not Certified,N/A,N/A,Not Certified,N/A,,N/A,Not Available,N/A,,,,,,,,,,
PLA blend,Series 40,FC 45140,Industry Blend,ERT Bioplastics,https://ertbio.com/en/serie/series-40/,Not Certified,N/A,N/A,Certified,138um,20250403_OKCompost_Export.pdf,Certified,100um,,https://products.bpiworld.org/companies/earth-renewable-technologies,Not Available,N/A,,,,,,,,,,
TPE Blend,BioComp,BF 6535BB,Industry Blend,Sirmax,https://www.sirmax.com/en/compound/bio-solutions,Certified,25um,20250403_OKCompost_Export HOME.pdf,Certified,25um,20250403_OKCompost_Export.pdf,Not Certified,N/A,,N/A,0%,,,,,,,,,,,
TPE Blend,BioComp,PAPER03,Industry Blend,Sirmax,https://www.sirmax.com/en/compound/bio-solutions,Not Certified,N/A,N/A,Not Certified,N/A,N/A,Not Certified,N/A,,N/A,0%,,,,,,,,,,,
TPE Blend,BioComp,FLEX RAW05,Industry Blend,Sirmax,https://www.sirmax.com/en/compound/bio-solutions,Certified,30um,20250403_OKCompost_Export HOME.pdf,Certified,50um,20250403_OKCompost_Export.pdf,Not Certified,N/A,,N/A,0%,,,,,,,,,,,
Starch/PBAT,EcoWill,G3: FM-0625B,Industry Blend,Jinhui,"http://www.jinhuizhaolong.com/en/jingcai/3.html

https://omnexus.specialchem.com/selectors/tr-ecowill",Certified,31um,20250403_OKCompost_Export HOME.pdf,Not Certified,N/A,N/A,Certified,33um,,https://products.bpiworld.org/companies/jinhui-zhaolong-high-technology-co-ltd,20 - 40%,20250403_OKCompost_Export biobased.pdf,,,,,,,,,,
PHA/PLA,PHACT,CA 8570P,Polymer,CJ Biomaterials,https://cjbiomaterials.com/wp-content/uploads/2024/03/CJBMS-TDS-CA8570P.pdf,Not certified,N/A,N/A,Not certified,N/A,N/A,Not certified,N/A,,N/A,100%,https://cjbiomaterials.com/by-manufacturing-process/,,,,,Not Tested,,Plastic bag applications banned. Approved in other formats as long as it is cerified under EN13432 scheme. Banned in other application formats primarily pertaining to rigids,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com","Except Taiwan, compostables in flexible film applications are approved as long as they comply with local certification requirements","https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PHA/PLA,PHACT,CA1270P ,Industry Blend,CJ Biomaterials,https://cjbiomaterials.com/wp-content/uploads/2024/03/CJBMS-TDS-CA1270P.pdf,Not Certified,N/A,N/A,Not Certified,N/A,N/A,Certified,2.9mm,,https://products.bpiworld.org/?type=product&keyword=PHACT,100%,https://cjbiomaterials.com/by-manufacturing-process/,,,,,,,,,,
PHA/PLA,PHACT,CA1240PF,Industry Blend,CJ Biomaterials,https://cjbiomaterials.com/wp-content/uploads/2024/03/CJBMS-TDS-CA1240PF.pdf,Not Certified,N/A,N/A,Not Certified,N/A,N/A,Certified,2.7mm,,https://products.bpiworld.org/?type=product&keyword=PHACT,100%,https://cjbiomaterials.com/by-manufacturing-process/,,,,,,,,,,
LDPE,ExxonMobil™ LDPE LD 150,,Benchmark,ExxonMobil,https://stavianchem.com/sites/default/files/product-specs/150BW.pdf,Not certified,N/A,N/A,Not certified,N/A,N/A,Not certified,N/A,,N/A,0%,,2.36,ZYA Database,LDPE is approved by the FDA,,Not Tested,https://www.b2bcomposites.com/msds/ted/65438.pdf,Banned for plastic bag applications,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com",Banned in flexible applications,"https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PP,Total PPH,PPH 3270,Benchmark,Songhan Plastic Technologies,https://www.lookpolymers.com/pdf/Total-PPH-3270-Polypropylene-Homopolymer-High-Crystallinity-Low-Melt-Flow-Film-Grade.pdf,Not certified,N/A,N/A,Not certified,N/A,N/A,Not certified,N/A,,N/A,0%,,2.36,ZYA Database,Approved,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.lookpolymers.com/pdf/Total-PPH-3270-Polypropylene-Homopolymer-High-Crystallinity-Low-Melt-Flow-Film-Grade.pdf,Not Tested,https://polymers.totalenergies.com/sites/g/files/wompnd5016/files/site_collection_documents/Safety%20Datasheet%20Documents/sds_us_polypropylene.pdf,Banned for rigid applications. Not applicable for films,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com",Banned in single use rigid applications regionally specified. Primarily cutlery and foodserviceware,"https://join.gov.tw/policies/detail/9877ba57-f629-4ae0-b8b6-7a7de75d76cd
https://www.loc.gov/item/global-legal-monitor/2021-03-23/china-single-use-plastic-straw-and-bag-ban-takes-effect/#:~:text=Article%20China%3A%20Single%2DUse%20Plastic,from%20providing%20plastic%20shopping%20bags.
https://www.npr.org/2022/07/01/1109476072/india-plastics-ban-begins
https://pib.gov.in/PressReleasePage.aspx?PRID=1882855
https://vietnamlawmagazine.vn/vietnam-to-ban-plastic-bags-from-markets-by-2030-48583.html"
PET,Mylar,48-F-OC Clear PET,Benchmark,CS Hyde Company ,https://catalog.cshyde.com/Asset/Data Sheet 48-F-OC.pdf,Not certified,N/A,N/A,Not certified,N/A,N/A,Not certified,N/A,,N/A,0%,,2.2,ZYA Database,,,,,Banned for rigid applications. Not applicable for films,"https://eur-lex.europa.eu/eli/dir/2019/904/oj
https://environment.ec.europa.eu/topics/plastics/single-use-plastics_en?utm_source=chatgpt.com",Not Mentioned,
PVDC,Barrialon,CX C6,Benchmark,Phoenix Films,http://phoenixfilms.com/C6.htm,Not certified,N/A,N/A,Not certified,N/A,N/A,Not certified,N/A,,N/A,0%,,,,,,,,,,,
PA,Aegis,PCR-H135ZP Nylon 6,Benchmark,AdvanSix,https://www.advansix.com/wp-content/uploads/2025/01/Aegis-PCR-H135ZP-TDS.pdf,Not certified,N/A,N/A,Not certified,N/A,N/A,Not certified,N/A,,N/A,0%,,,,,,,,,,,
EVOH,EVAL,F171B,Benchmark,Kurraray,https://eval.kuraray.com/wp-content/uploads/2021/11/tds_eval_F171B.pdf,Not certified,N/A,N/A,Not certified,N/A,N/A,Not certified,N/A,,N/A,0%,,,,,,,,,,,